TIME - 00:17:08.770 | INFO  | utility.ExcelUtility :- Excel Workbook Opened.
TIME - 00:17:08.780 | INFO  | utility.ExcelUtility :- File Path of excel - C:\Users\The Unknown Guy\WebAutomationFramework\WebApplicationTestingFramework\testdata\\ExcelTestData.xlsx
TIME - 00:17:08.780 | INFO  | utility.ExcelUtility :- Excel Sheet name - Sheet1
TIME - 00:17:08.868 | INFO  | testSets.TS_LoginTest :- Inside the SetUp()/@BeforeMethod method
TIME - 00:17:08.870 | INFO  | base.BaseClass :- Data read from the projectConfiguration.properties file.
TIME - 00:17:21.669 | INFO  | base.BaseClass :- Chrome Browser is opened.
TIME - 00:17:21.839 | INFO  | testSets.TS_LoginTest :- Inside the @Test method
TIME - 00:17:26.080 | INFO  | base.BaseClass :- Driver navigated to the URL -> https://www.saucedemo.com/
TIME - 00:17:28.745 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 00:17:29.081 | INFO  | utility.ReusableFunctions :- WaitUntilElementFound - 10 seconds wait period, Element found on the webpage
TIME - 00:17:29.695 | INFO  | utility.ReusableFunctions :- Input value - standard_user was provided to the element.
TIME - 00:17:29.924 | INFO  | utility.ReusableFunctions :- Input value - secret_sauce was provided to the element.
TIME - 00:17:30.339 | INFO  | utility.ReusableFunctions :- Clicked operation was performed on the element.
TIME - 00:17:34.342 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 4 seconds.
TIME - 00:17:34.409 | INFO  | utility.ReusableFunctions :- Element is Displayed on the Webpage
TIME - 00:17:35.067 | INFO  | testLogic.TL_Login :- User has LOGGED IN to the application using Username -  standard_user and Password - secret_sauce
TIME - 00:17:37.069 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 00:17:37.333 | INFO  | utility.ReusableFunctions :- User has hovered the mouse on the preferred element.
TIME - 00:17:39.335 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 00:17:39.484 | INFO  | utility.ReusableFunctions :- User has clicked on the element visible after mouse is hovered on it.
TIME - 00:17:39.705 | INFO  | utility.ReusableFunctions :- Clicked operation was performed on the element.
TIME - 00:17:41.706 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 00:17:41.809 | INFO  | utility.ReusableFunctions :- Element is Displayed on the Webpage
TIME - 00:17:42.479 | INFO  | testLogic.TL_Login :- User has successfully logged out of the application.
TIME - 00:17:42.489 | INFO  | testSets.TS_LoginTest :- Inside the TearDown()/@AfterMethod method
TIME - 00:17:43.417 | INFO  | base.BaseClass :- Driver QUIT operation performed.
TIME - 00:17:44.441 | INFO  | utility.ExcelUtility :- Number of Rows in the excel - 5
TIME - 00:17:44.441 | INFO  | utility.ExcelUtility :- Number of Columns in the excel - 2
TIME - 00:17:44.490 | INFO  | utility.ExcelUtility :- Getting data from Excel in a 2D Array.
TIME - 00:17:44.493 | INFO  | testSets.TS_LoginTest :- Inside the SetUp()/@BeforeMethod method
